DateTime,SP500PERatio
1/2/1970 0:00,15.35
1/3/1970 0:00,15.75
1/4/1970 0:00,15.37
1/5/1970 0:00,13.69
1/6/1970 0:00,13.69
1/7/1970 0:00,13.85
1/8/1970 0:00,14.39
1/9/1970 0:00,15.41
1/10/1970 0:00,15.97
1/11/1970 0:00,16.19
1/12/1970 0:00,17.55
1/1/1971 0:00,18.12
1/2/1971 0:00,18.71
1/3/1971 0:00,19.08
1/4/1971 0:00,19.61
1/5/1971 0:00,19.22
1/6/1971 0:00,18.74
1/7/1971 0:00,18.48
1/8/1971 0:00,18.03
1/9/1971 0:00,18.31
1/10/1971 0:00,17.62
1/11/1971 0:00,16.54
1/12/1971 0:00,17.4
1/1/1972 0:00,18.01
1/2/1972 0:00,18.22
1/3/1972 0:00,18.54
1/4/1972 0:00,18.56
1/5/1972 0:00,18.2
1/6/1972 0:00,18.09
1/7/1972 0:00,17.79
1/8/1972 0:00,18.25
1/9/1972 0:00,17.82
1/10/1972 0:00,17.58
1/11/1972 0:00,18.19
1/12/1972 0:00,18.3
1/1/1973 0:00,18.09
1/2/1973 0:00,17.11
1/3/1973 0:00,16.53
1/4/1973 0:00,15.89
1/5/1973 0:00,15.13
1/6/1973 0:00,14.5
1/7/1973 0:00,14.33
1/8/1973 0:00,13.77
1/9/1973 0:00,13.73
1/10/1973 0:00,13.99
1/11/1973 0:00,12.74
1/12/1973 0:00,11.62
1/1/1974 0:00,11.68
1/2/1974 0:00,11.27
1/3/1974 0:00,11.66
1/4/1974 0:00,10.89
1/5/1974 0:00,10.41
1/6/1974 0:00,10.27
1/7/1974 0:00,8.95
1/8/1974 0:00,8.46
1/9/1974 0:00,7.48
1/10/1974 0:00,7.68
1/11/1974 0:00,8
1/12/1974 0:00,7.54
1/1/1975 0:00,8.3
1/2/1975 0:00,9.32
1/3/1975 0:00,9.91
1/4/1975 0:00,10.22
1/5/1975 0:00,11.09
1/6/1975 0:00,11.61
1/7/1975 0:00,11.72
1/8/1975 0:00,10.95
1/9/1975 0:00,10.91
